country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Colombia,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,60,50,50,35,65,493,738,841,1040,1360,1900,2170,2380,3540,4410,14.3k,33.4k,52.5k,60.9k,68.9k,80.2k,94.7k,595k,426k,454k,456k,439k,413k,412k,365k,347k,324k,224k,184k,265k,261k,196k,220k
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,0,5,10,10,5,27,27,121,107,76,107,569,573,78,134,412,273,370,448,503,827,928,776,798,922,1120,2120,3440,3500,3160
Cape Verde,,,,,,,,,,,,,,,,300,300,430,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,16,18,16,14,44,33,27,22,22,27,32,39,73,122,108,186,216,260,263,283,290
Costa Rica,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,222,209,136,86,50,73,281,757,1830,1560,487,309,357,422,419,420,426,371,348,923,539,587,514,681,755,945,1010,1220,1350
Cuba,,,,,,,,,,,,,,,,,,,14.5k,16.7k,54.5k,17.1k,0,1600,0,0,0,0,3560,1700,2710,655,925,1360,1880,686,836,3870,7680,13.5k,17.6k,21.3k,22.4k,23.3k,24.9k,25.5k,24.9k,23.6k,23.3k,23.5k,22.5k,20.7k,18.3k,17.7k,20.7k,34.9k,8560,8800,9750,11.8k,8750,8550,8570,9310,9180,11k,18.6k,32.1k,62.6k,71.1k,83.1k,120k
Cyprus,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,6,9,9,7,10,17,22,13,20,10,0,5,5,10,10,10,10,10,10,10,10,5,5,20,27,35,19,20,27
Czech Republic,,,,,,,,,,,,,,,,,,,,70,70,70,60,50,50,0,0,0,0,393,389,494,421,456,981,411,385,5650,5790,6120,4490,3330,5020,4650,2040,977,695,1930,1240,985,1390,7170,7040,4700,3790,2320,1510,2140,3160,1960,1410,814,1100,1420,1400,1500,1580,1460,1350,1270,919,763
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,449,384,421,443,689,1300,1240,1080,997,780,135,140,194,193,262,248,189,198,195,237,247,239,195,245,237,270,237,307,387
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,36,18.1k,18.1k,18.1k,8140,3220,1880,2050,632,582,590,528,713,585,672,693,772,782,870,925,1140,1280,1600,2270,3050,3220,3190,3300,3600,2730
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,28,53,41,41,76,66,66,75,69,67,60,64,61,48,124,146,89,92,132,129,178,203
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,34,33,28,25,31,5,12,15,15,15,15,15,16,10,6,6,6,11,21,26,5,21,35,42,22,33,27
Dominican Republic,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,29,50,42,45,98,169,227,212,239,139,264,483,580,623,624,586,635,1140,1490,2090,2710,3590,3880,4580,4790,5280,5940
Algeria,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,5,5,18,55,69,84,20.7k,1520,2250,3410,5720,7140,10.3k,11.1k,14.5k,13.6k,12k,13.4k,9870,11.9k,10.6k,9710,8380,8280,8120,7930,8640,11.1k,10.9k,10.5k,11.6k,12.2k,12.3k,12.9k,14.4k
Ecuador,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,38,48,174,203,216,215,507,492,939,1080,1650,1410,1210,1050,1140,1610,1310,1310,1060,1170,1370,3050,7770,11.4k,14.7k,18.6k,19.2k,21k,23.8k,29.1k,37k
Egypt,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,5,5,6,6,7,8,8,14,13,50,98,210,257,501,870,1200,1720,2610,3490,5110,6120,8270,7750,7600,8620,9280,8400,8580,8610,8470,10.5k,14.1k,22.3k,26.7k,30.1k,32.8k,36.7k,41.6k,44k,42.9k,48.5k,49.4k
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,542,1540,1590,1390,1390,1390,177,167,133,43,43,501k,503k,427k,422k,287k,332k,319k,347k,347k,379k,336k,344k,127k,134k,148k,199k,221k,201k,224k,236k,267k,306k,337k,417k,470k,525k,565k,586k,576k,598k,589k,578k
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,670,650,390,210,140,510,0,0,0,5,5,50,600,60,60,0,60,0,0,0,0,0,0,42,36,217,214,57,49,96,63,83,91,81,69,2460,48,43,85,111,127,136,124,128,145,154,236,284,327,346,478,546
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,95,296,350,1310,1270,792,634,534,581,1220,1200,992,870,745,313,281,283,257,259,483,371,371,354,345,330,318,329,320,319,214
Ethiopia,,,,,,,,,,,,,,,,,28.6k,31k,31k,54.4k,55.2k,44.6k,46.3k,49.2k,91.4k,106k,655k,888k,1.62M,2.57M,1.36M,1.33M,1.35M,1.55M,1.75M,1.53M,1.49M,1.51M,1.47M,1.35M,251k,313k,252k,226k,101k,96.3k,84.4k,70.7k,71k,80.9k,71.3k,70.2k,73.5k,76.3k,81.7k,90.7k,89.3k,95.4k,112k,118k,109k,117k,126k,148k,163k,163k,221k,225k,229k,276k,288k,296k
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,5,13,11,5,10,10,5,0,6,6,11,11,10,5,10,10,15,10,10,0,5,15
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,89,156,222,305,326,301,328,2060,2650,2570,2110,1800,1750,1930,2020,2060,2250,2150,1830,1580,1570,1700,1320,1300,1410,1970,2930,3200,3410,3540
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,46,60,62,60,119,100,165,176,167,340,114,147,152,149,123,143,132,134,124,167,166,194,278,318,224,317,396
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,
