country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"Micronesia, Fed. Sts.",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3450,0,0,0,0,0,0,0,0
Gabon,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,20,0,60,0,0,0,0,60,0,0,101,0,0,17.9k,0
UK,0,0,0,,0,0,0,0,0,0,0,0,0,0,42,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,0,0,0,0,0,0
Ghana,0,0,0,,0,0,0,6560,0,0,0,0,0,0,1600,0,0,0,153,19,0,20,0,0,0,0,4170,185,1610,1220,0,1150,0,0,0,2290,0,0,0
Guinea,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,24.3k,0,0,0,0,135,512,155,146,67,1190,1960,427,2500,0
Gambia,0,0,0,,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,0,0,137,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,6070,0,0,0,0,0,0,8830,0,27.9k,23.1k,0,2570,0,0,0,0,202,25.5k,0,0,14.2k
Equatorial Guinea,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,0,0,0,0
Guatemala,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,27k,206,0,0,3400,0,0,1360,0,0,0,2040,0,0,0,0,0,0
"Hong Kong, China",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760,0,0,0,0,0,0
Honduras,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16k,0,0,2470,0,0,0,4540,0,0,0,0,0,0
Haiti,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0
Indonesia,0,0,0,,0,0,0,30.1k,163,0,0,0,239,120,4110,0,501k,0,0,0,50,15.3k,0,0,0,0,5490,197,34.1k,4700,1740,0,776,0,59.1k,329,0,35.6k,0
India,0,0,0,,0,0,0,9090,3210,215,1040,0,118,0,31.5k,8440,11.9k,90,3910,200,18.1k,185,0,0,5200,0,8780,970,16k,79.8k,2090,59k,5330,2190,0,157k,0,0,0
