country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Slovak Republic,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,97,98,98
Slovenia,,,,,,,,,,,,,98,99,99,99,98,97,98,98,98,98,98,98,99,99,99,98,98,98,96,96,96,95,95,96,94,94,94,95,95
Sweden,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,97,98,98,97,97,98,97
Eswatini,,59,66,72,73,79,91,94,95,96,96,80,97,98,99,99,85,92,92,92,92,93,99,99,99,99,99,99,99,99,99,98,99,99,99,98,97,98,98,98,97
Seychelles,,67,83,98,95,92,95,95,94,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Syria,35,36,37,45,49,53,98,71,87,98,92,95,92,91,91,91,91,91,91,91,91,91,90,90,90,90,91,93,93,95,97,90,82,84,81,66,72,78,79,84,74
Chad,,,,1,10,15,24,32,38,59,59,40,34,34,43,43,39,45,45,45,49,52,46,40,41,41,56,44,30,46,58,54,63,60,58,70,59,59,46,51,60
Togo,,44,48,51,55,54,53,95,91,94,99,96,92,89,86,83,79,76,70,81,84,83,81,79,91,96,96,91,92,91,97,97,97,97,84,93,93,89,97,98,96
Thailand,68,71,73,75,76,80,83,93,91,98,99,99,99,99,99,98,98,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
Tajikistan,,,,,,,,,,,,,88,81,96,96,99,99,98,98,98,96,97,98,98,97,96,90,89,93,98,98,97,98,98,98,98,98,99,98,98
Turkmenistan,,,,,,,,,,,,,97,94,97,96,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,75,72,72,70,74,74,85,78,79,79,86,86,79,79,86,95,95,95,88
Tonga,99,86,98,83,78,99,98,99,95,97,99,99,99,97,99,99,99,99,99,99,99,96,95,99,99,99,99,99,99,99,99,99,95,99,99,99,99,99,99,99,99
Trinidad and Tobago,38,62,59,61,66,75,71,80,83,77,87,93,87,87,86,90,90,91,91,90,90,91,96,92,95,95,92,91,91,94,92,92,92,94,96,96,97,94,99,99,
Tunisia,,,87,88,89,90,92,93,95,96,96,96,97,97,97,97,97,97,96,99,98,99,98,99,99,99,99,99,99,99,98,98,96,98,94,94,93,92,92,95,93
Turkey,63,69,64,65,71,76,82,87,97,95,93,91,89,90,91,90,89,89,91,93,96,95,89,97,97,98,98,96,97,97,97,98,97,98,96,97,98,96,98,99,98
Tuvalu,99,89,79,99,90,97,92,86,95,98,99,95,97,87,99,94,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99
Tanzania,72,74,64,83,73,90,97,94,93,92,85,95,99,94,92,96,82,85,83,87,86,91,91,97,95,91,93,90,89,93,99,99,99,99,99,97,95,93,91,91,87
Uganda,,22,23,28,32,37,51,61,70,72,75,77,79,82,84,83,82,82,75,80,82,83,85,87,88,90,83,87,86,90,86,97,95,93,91,95,94,94,93,93,91
Ukraine,,,,,,,,,,,,,93,94,97,98,99,99,98,99,99,99,99,99,99,97,99,98,95,94,92,90,95,95,57,57,75,86,91,93,93
Uruguay,59,76,76,99,93,92,92,98,98,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,98,98,98,99,99
USA,96,97,97,98,98,97,97,97,98,94,90,87,83,88,94,95,95,96,96,96,94,94,94,96,96,96,96,96,96,95,95,96,94,94,95,95,95,94,94,95,95
Uzbekistan,,,,,,,,,,,,,98,98,93,99,97,98,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99
St. Vincent and the Grenadines,26,33,99,84,92,90,95,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,99,99,99,99,99,99,99,99
Venezuela,95,77,76,82,92,89,86,63,76,88,82,90,85,81,95,91,90,89,92,98,99,98,90,91,96,95,83,87,93,91,92,95,96,95,97,99,97,96,92,93,82
Vietnam,,,1,4,48,62,55,59,79,94,90,91,91,94,96,96,96,96,96,95,98,98,97,99,97,95,95,94,97,97,98,98,98,98,97,97,99,97,97,96,97
Vanuatu,,32,61,58,64,83,75,79,73,80,96,99,84,96,82,74,72,78,78,79,79,79,80,80,80,81,81,83,85,86,88,90,92,93,95,95,94,95,94,97,78
Samoa,72,84,96,99,97,97,97,98,97,82,97,95,91,94,97,96,98,99,99,99,98,98,99,90,93,86,84,91,98,92,87,95,90,90,89,84,80,83,62,90,99
Yemen,9,12,13,15,16,20,23,30,52,75,95,63,54,57,41,60,58,54,68,79,82,78,73,66,74,80,78,79,78,76,77,69,68,73,73,69,73,68,65,73,73
South Africa,,,,80,76,77,70,75,70,84,79,85,85,95,95,95,95,97,94,92,89,86,84,81,78,82,84,85,84,82,81,84,86,88,93,86,85,84,83,86,86
Zambia,,72,70,68,71,92,95,97,97,97,97,95,94,92,98,97,96,95,95,95,94,94,94,93,93,92,92,93,91,94,96,92,92,95,99,97,99,99,94,95,96
Zimbabwe,,64,65,67,69,78,94,94,89,90,91,91,91,95,95,96,96,92,88,86,84,82,80,78,76,80,84,87,91,90,99,98,98,95,99,90,95,95,95,95,88
