country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belize,71,71,85,81,77,81,94,85,85,91,93,94,97,91,90,92,90,86,93,96,96,98,97,99,99,96,99,99,98,99,98,98,98,99,98,98,96,90,99,98,87
Bolivia,30,30,31,27,46,33,55,57,58,64,65,67,81,84,92,87,98,88,85,95,92,90,93,96,90,89,88,87,92,93,98,99,99,94,94,99,96,93,90,80,82
Brazil,69,73,66,68,75,67,67,68,74,74,79,87,91,95,93,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,93,93,91,79
Barbados,99,58,63,69,84,88,84,85,84,85,91,92,90,92,97,93,99,96,97,87,94,93,91,91,99,98,94,96,97,97,96,94,90,91,95,97,97,94,95,93,89
Brunei,99,99,99,99,96,98,99,99,99,99,99,96,97,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,97,99,99,99,99,99,99,99,99,99
Bhutan,43,44,45,46,47,54,60,67,73,93,99,95,90,89,96,98,98,92,94,90,98,89,89,96,92,95,96,95,99,94,96,95,97,97,99,99,99,99,99,97,98
Botswana,92,93,94,94,95,97,99,95,95,92,93,93,94,95,96,96,97,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98
Central African Republic,17,26,24,29,32,34,37,42,53,86,96,91,85,81,77,94,86,78,70,62,66,70,71,72,73,74,74,74,74,74,74,74,74,37,68,64,61,61,61,61,61
Canada,,,,,,,,86,87,87,89,92,94,96,97,96,97,96,96,96,96,95,95,95,94,94,95,99,96,93,90,89,91,91,91,91,91,91,91,92,92
Switzerland,,,,,,,98,97,95,98,98,95,95,95,95,95,95,95,92,95,95,95,95,95,95,94,94,94,96,96,96,96,96,96,96,96,96,96,96,96,97
Chile,96,99,99,95,99,99,96,97,98,97,97,99,99,97,99,97,99,96,98,95,97,98,97,96,96,96,98,98,99,95,95,94,92,98,98,97,97,96,96,98,98
China,,,80,81,84,88,78,85,98,98,99,97,94,92,89,82,84,85,85,86,86,86,86,87,87,87,94,94,99,99,99,99,99,99,99,99,99,99,99,99,99
Cote d'Ivoire,,,,,31,31,41,53,52,47,62,65,70,74,75,69,68,73,71,74,80,80,79,78,78,87,77,94,91,95,79,76,93,85,85,80,95,93,95,93,86
Cameroon,,16,27,46,49,54,60,65,71,76,76,69,62,58,59,62,69,75,80,78,78,79,79,82,83,90,96,89,91,81,84,82,85,89,87,83,84,87,84,80,80
"Congo, Dem. Rep.",57,61,62,65,62,57,51,57,59,55,65,21,32,43,46,34,25,25,25,30,57,43,50,61,68,72,72,80,78,85,85,77,83,82,77,72,73,73,73,73,73
"Congo, Rep.",92,49,91,90,80,89,86,87,88,90,90,89,75,63,61,58,51,29,34,39,50,53,51,60,85,73,84,86,93,90,95,95,92,92,95,85,80,76,81,80,73
Colombia,45,57,65,79,69,76,70,82,99,94,95,95,88,96,99,99,99,97,85,80,91,93,93,97,94,96,96,93,95,92,88,88,94,92,91,94,93,93,95,95,90
Comoros,,,,,56,77,97,97,72,95,99,71,81,95,94,95,60,55,84,87,90,90,98,80,79,80,84,77,81,84,82,85,89,88,90,94,94,94,94,94,91
Cape Verde,,,,23,31,64,93,99,99,99,97,99,99,95,95,94,94,93,94,95,96,96,97,98,99,99,99,99,99,99,99,99,99,94,99,95,96,98,99,98,98
Costa Rica,86,85,87,86,94,90,90,94,97,89,95,96,94,98,94,99,92,99,87,89,95,92,96,93,97,96,95,99,99,91,94,90,95,95,95,99,99,99,99,99,99
Cuba,99,97,99,99,97,98,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Cyprus,35,56,27,36,31,61,91,93,90,93,94,94,95,95,96,96,98,98,98,97,97,97,98,98,98,98,97,97,97,99,99,99,99,99,99,97,97,97,99,96,
Czech Republic,,,,,,,,,,,,,,99,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,97,97,97,
Germany,80,95,97,94,94,85,90,80,80,80,80,80,85,95,95,95,95,95,94,97,94,96,97,97,96,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,
Djibouti,,,15,36,36,37,38,42,87,80,85,66,51,51,51,51,51,43,35,26,50,53,62,68,71,80,88,90,90,90,90,89,87,86,99,92,90,92,93,95,77
